,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
16143,EJE CAFETERO,RISARALDA,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,SE,,BA,Individual,,,0,0,0,0,0,0,0,0,0,8160082493
8732,COSTA,CESAR,HFC,AUR&CONSTRUCTORES,URBANIZACIONES,INDIRECTA,4,0.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,0,1235338085
8731,CENTRO,CUNDINAMARCA,HFC,RETAIL,RETAIL,INDIRECTA,3,4.0,TV,Individual,,,0,0,0,0,0,0,0,1,0,1235244065
9116,COSTA,BOLIVAR,HFC,FVD,FVD,INDIRECTA,2,0.0,TO+TV+BA,Trio,,,0,0,0,0,0,0,0,0,0,1235043740
9115,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,SAC,INDIRECTA,4,0.0,TV,Individual,1.0,No navega,0,0,0,0,0,0,0,0,0,1234991241
9112,NOROCCIDENTE,ANTIOQUIA,HFC,FVD,DEALERS,DIRECTA,3,19.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,1,0,1234991095
9109,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,19.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,1,1234991067
9108,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,178.0,BA,Individual,,,1,1,0,0,0,1,0,0,0,1234989947
9106,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,2,13.0,TV+BA,Duo,1.0,No navega,0,0,0,0,0,0,0,0,0,1234989150
9105,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,34.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1234989063
9103,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,IN BOUND,INDIRECTA,2,40.0,TO+BA,Duo,1.0,Navegacion Lenta,1,1,1,1,0,1,0,0,0,1234988103
9102,COSTA,ATLÁNTICO,HFC,CONTACT,SAC,INDIRECTA,4,1.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,1234888928
9099,SUR,CAUCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,4.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,1,0,1234790134
9098,SUR,VALLE DEL CAUCA,HFC,CONTACT,IN BOUND,INDIRECTA,3,1.0,TV,Individual,,,1,0,0,0,0,0,0,0,1,1234194098
9442,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,19.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233901778
9441,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,2.0,TO,Individual,,,1,1,0,0,0,0,0,0,0,1233892784
9438,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,3,4.0,TO+TV+BA,Trio,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,1233892282
9437,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,11.0,BA,Individual,,,0,0,0,0,0,0,0,0,1,1233891244
9436,CENTRO,CUNDINAMARCA,HFC,CONTACT,IN BOUND,INDIRECTA,2,19.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1233890390
9433,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,0.0,TO+TV+BA,Trio,1.0,No navega,0,0,0,0,0,0,0,0,0,1233692280
9431,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,43.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233690886
9430,CENTRO,CUNDINAMARCA,HFC,FVD,DEALERS,DIRECTA,2,11.0,BA,Individual,,,0,0,0,0,0,0,0,0,1,1233499215
9428,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,3,15.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233495805
9426,CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,6.0,TO+BA,Duo,,,0,0,0,0,0,0,0,0,0,1233492304
6777,CENTRO,CUNDINAMARCA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,7.0,TO+TV+BA,Trio,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,0,1233491070
9424,CENTRO,CUNDINAMARCA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,7.0,TO+TV+BA,Trio,1.0,Mala calidad en la imagen,0,0,0,0,0,0,0,0,1,1233491070
6776,CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,11.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,1233489560
